domain,target_version,target_column,class,samples,percent
Etiology,Microorganism target,resultado_hemo_mo,género Arthrobacter,1,0.0
Etiology,Microorganism target,resultado_hemo_mo,Acinetobacter lwoffii,1,0.0
Etiology,Microorganism target,resultado_hemo_mo,Aeromonas caviae,1,0.0
Etiology,Microorganism target,resultado_hemo_mo,Raoultella ornithinolytica,1,0.0
Etiology,Microorganism target,resultado_hemo_mo,Clostridium tertium,1,0.0
Etiology,Microorganism target,resultado_hemo_mo,Aeromonas hydrophila,1,0.0
Etiology,Microorganism target,resultado_hemo_mo,Pantoea agglomerans,1,0.0
Etiology,Microorganism target,resultado_hemo_mo,Citrobacter amalonaticus,1,0.0
Etiology,Microorganism target,resultado_hemo_mo,Providencia rettgeri,1,0.0
Etiology,Clinical organism grouping,resultado_hemo,NEGATIVE,2072,53.0
Etiology,Clinical organism grouping,resultado_hemo,Escherichia coli,850,21.7
Etiology,Clinical organism grouping,resultado_hemo,Klebsiella pneumoniae,210,5.4
Etiology,Clinical organism grouping,resultado_hemo,_Other bacteria,198,5.1
Etiology,Clinical organism grouping,resultado_hemo,_Enterobacteria,176,4.5
Etiology,Clinical organism grouping,resultado_hemo,Staphylococcus aureus,171,4.4
Etiology,Clinical organism grouping,resultado_hemo,Streptococcus pneumoniae,106,2.7
Etiology,Clinical organism grouping,resultado_hemo,Pseudomonas aeruginosa,84,2.1
Etiology,Clinical organism grouping,resultado_hemo,Enterococcus,39,1.0
Etiology,Clinical organism grouping,resultado_hemo,_Fungi,7,0.2
Etiology,Gram grouped,resultado_hemo_grouped,NEGATIVE,2277,58.2
Etiology,Gram grouped,resultado_hemo_grouped,Bacilo gram-,1320,33.7
Etiology,Gram grouped,resultado_hemo_grouped,Coco gram+,316,8.1
Resistance,Individual phenotype combinations,fenotipo_resistencia_individual,NEGATIVE,3152,80.6
Resistance,Individual phenotype combinations,fenotipo_resistencia_individual,Bacilo Gram negativo resistente a amoxicilina/clavulánico,153,3.9
